Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Invalid Cases
60.0,77.778,60.0,52.381,52.381,
55.0,68.824,55.0,47.517,35.198,
50.0,68.462,50.0,41.93,32.164,
57.5,70.278,57.5,48.464,33.81,
60.0,74.044,60.0,51.186,44.22,
61.667,74.938,61.667,53.341,45.441,
64.286,74.49,64.286,56.653,44.935,
62.5,73.151,62.5,53.974,41.839,
61.111,72.697,61.111,51.849,39.817,
60.0,72.355,60.0,50.121,38.175,
60.0,66.408,60.0,50.215,37.244,
60.833,66.954,60.833,50.865,37.035,
60.769,67.974,60.769,50.995,37.418,
60.0,61.251,60.0,50.548,36.341,
61.333,62.098,61.333,51.858,36.505,
