Accuracy,Precision,Recall,F1 Score,Macro F1 Score
50.0,40.0,50.0,43.333,39.815,
30.0,24.429,30.0,25.364,28.182,
23.333,24.444,23.333,21.256,25.104,
27.5,25.609,27.5,24.646,25.951,
34.0,38.9,34.0,32.655,32.542,
35.0,39.667,35.0,32.309,31.746,
40.0,44.444,40.0,36.617,34.53,
41.25,47.094,41.25,39.188,37.503,
45.556,49.541,45.556,42.457,39.351,
46.0,48.839,46.0,42.409,40.174,
46.364,48.429,46.364,42.83,39.708,
48.333,48.897,48.333,44.596,41.153,
48.462,48.243,48.462,44.663,40.284,
50.714,51.221,50.714,47.098,42.049,
49.333,49.563,49.333,45.614,40.289,
49.375,49.81,49.375,45.445,40.514,
48.235,49.152,48.235,44.44,38.965,
50.556,52.048,50.556,47.071,41.407,
50.526,52.519,50.526,47.405,40.933,
52.0,54.157,52.0,49.312,42.292,
51.905,52.861,51.905,49.222,41.621,
52.727,52.873,52.727,50.103,41.935,
52.609,53.034,52.609,49.931,42.364,
52.5,53.02,52.5,49.72,41.762,
53.2,54.238,53.2,50.501,42.321,
53.846,54.598,53.846,51.135,42.5,
54.074,54.537,54.074,51.275,42.216,
53.571,54.313,53.571,50.707,41.439,
53.448,54.686,53.448,50.714,41.247,
53.0,54.42,53.0,50.197,40.857,
52.258,53.295,52.258,49.522,40.536,
52.812,53.856,52.812,50.184,40.988,
52.424,53.191,52.424,49.799,40.406,
52.353,53.196,52.353,49.664,40.028,
52.857,53.958,52.857,50.235,40.416,
52.778,54.016,52.778,50.169,40.476,
53.243,54.304,53.243,50.746,40.449,
53.421,54.851,53.421,51.07,40.625,
53.846,55.225,53.846,51.411,40.785,
54.25,55.095,54.25,51.827,40.764,
53.659,54.635,53.659,51.294,40.641,
53.333,54.498,53.333,50.901,40.37,
53.023,53.976,53.023,50.567,40.376,
52.955,53.7,52.955,50.603,40.085,
53.333,54.114,53.333,51.052,40.406,
53.478,54.258,53.478,51.092,40.422,
53.191,54.092,53.191,50.965,40.827,
53.542,54.274,53.542,51.299,40.803,
53.673,54.47,53.673,51.461,40.978,
53.6,54.423,53.6,51.541,40.976,
53.529,54.354,53.529,51.612,40.853,
53.846,54.473,53.846,51.919,40.821,
53.774,54.205,53.774,51.705,40.965,
53.704,54.355,53.704,51.707,40.975,
53.818,54.445,53.818,51.726,41.659,
54.107,54.695,54.107,51.967,41.969,
53.684,54.268,53.684,51.6,41.478,
53.276,53.7,53.276,51.268,41.027,
53.559,54.053,53.559,51.613,41.562,
54.167,54.697,54.167,52.277,42.156,
54.262,54.821,54.262,52.422,42.157,
54.355,54.901,54.355,52.483,42.292,
54.444,54.858,54.444,52.518,42.931,
54.531,54.823,54.531,52.568,43.187,
54.615,55.119,54.615,52.762,43.264,
54.394,54.769,54.394,52.408,43.235,
54.627,55.075,54.627,52.618,43.31,
54.559,55.229,54.559,52.625,43.615,
54.348,54.88,54.348,52.431,43.4,
54.143,54.476,54.143,52.241,43.099,
