Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Invalid Cases
70.0,83.333,70.0,73.864,49.242,
60.0,61.714,60.0,57.019,42.236,
63.333,64.444,63.333,61.333,45.778,
70.0,69.958,70.0,67.747,48.379,
68.0,65.139,68.0,66.086,47.353,
70.0,67.445,70.0,68.627,48.566,
68.571,64.612,68.571,66.53,47.628,
63.75,59.144,63.75,61.333,44.444,
62.222,60.062,62.222,60.822,48.083,
61.0,58.5,61.0,59.323,46.672,
61.818,59.31,61.818,60.119,46.87,
60.833,58.975,60.833,59.493,46.024,
60.0,58.198,60.0,58.736,45.319,
60.0,58.163,60.0,58.666,44.892,
59.333,58.092,59.333,58.284,44.178,
