Accuracy,Precision,Recall,F1 Score,Macro F1 Score,Invalid Cases
50.0,87.5,50.0,61.905,41.27,
40.0,44.5,40.0,40.857,37.672,
36.667,44.356,36.667,36.956,33.322,
40.0,42.877,40.0,39.577,33.59,
44.0,45.556,44.0,42.186,37.843,
48.333,51.701,48.333,47.958,41.46,
54.286,56.174,54.286,53.494,46.868,
53.75,54.461,53.75,52.895,45.088,
56.667,57.455,56.667,55.61,48.93,
57.0,57.88,57.0,56.081,48.653,
56.364,56.694,56.364,55.442,48.716,
57.5,58.476,57.5,56.736,48.624,
56.923,57.954,56.923,55.624,47.317,
56.429,56.508,56.429,54.974,46.186,
57.333,57.578,57.333,56.132,46.355,
